Initiative number,Initiative,Business unit,Project,Short Description,Impact,Core Technology,Difficulty (1-3),Impact Score (1-3)
6,Agile pricing,Finance,Pricing,AI for pricing and discount margins,Reduced repetitive tasks,Predictive AI,2,3
7,GMHS's Offer automation,Sales,Processing,Bot automating CET info to proposals,Reduced repetitive tasks,Data + RPA + IDP,1,2
8,Contract concierge,Legal,Advisory,Virtual assistant for legal documents,Increased productivity,IDP + GenAI,1,2
10,Translator,All,-,Teams-based translation assistant,Increased productivity,GenAI (Translation),1,1
11,GonvAlrri desk,HR,NPS,Virtual assistant chatbot for employee issues,Increased productivity,GenAI (Chatbot),2,2
24,Bid Crafter Tender Analysis & Creation Suite,Sales,Processing,Tool to read tender contracts and extract key variables,Reduced repetitive tasks,IDP + GenAI,2,2
27,Supplier negotiation cockpit,Procurement,Negotiation,Trading booth consolidating supplier info,Improving decision-making,Data,2,3
28,Customer Negotiation Cockpit,Sales,Processing,Trading booth consolidating customer info,Improving decision-making,GenAI + Analytics,2,3
29,Supplier contract analysis,Legal,Advisory,Automated analysis of contracts with suppliers,Reduced manual effort,IDP + GenAI,2,2
30,Customer contract analysis,Legal,Advisory,Automated analysis of contracts with clients,Reduced manual effort,IDP + GenAI,2,2
36,Invoice AutoFlow,Finance,Invoicing,Automated invoice processing,Increased efficiency,RPA + IDP,1,3
42,RFP QuickGen,Procurement,Outbound,RFP Automation,Reduced acquisition costs,RPA + GenAI,2,2
47,InvoiceGenius,Finance,Invoicing,Automated invoice generation,Reduced processing costs,RPA + IDP,2,3
50,FraudFinder AI,Finance,Invoicing,Fraudulent transactions detection,Reduce time on investigations,IDP + Predictive AI,3,3
51,ComplianceAI Mapper,Legal,Compliance,Compliance risk assessment,Reduced manual work,GenAI + Compliance AI,3,3
55,Onboarding Buddy GenAI,HR,NPS,GenAI onboarding companion,Reduction in onboarding time,GenAI (Copilot),1,2
56,HRChatbot GenAI,HR,NPS,GenAI chatbots for HR queries,Reduced HR workload,GenAI (Chatbot),1,2
58,NLP HRRequest Sorter,HR,NPS,Categorize and prioritize HR requests,Increased productivity,NLP + RPA,2,2
59,AttritionPredictor AI,HR,Retention,Predict employee attrition,Decrease attrition,Predictive AI,2,3
60,CareerCoPilot GenAI,HR,Upskilling,GenAI career co-pilot,Increase efficiency,GenAI (Copilot),1,2
64,Automated supplier inquiry handling,Procurement,Operations,Automate supplier interactions,Increased efficiency,RPA + GenAI,2,2
69,Accounts Receivable Collections Assistant,Finance,Invoicing,ERP-integrated assistant for collections,Single-window view,RPA + Gen AI,2,3
71,SmartBidder,Procurement,Negotiation,Purchasing intelligence,Reduced acquisition costs,Advanced Analytics,2,3
72,SpendSight Analytics,Procurement,Reporting,Supplier performance analysis,Reduced costs,Advanced Analytics,2,2
76,OnboardEase,HR,NPS,Digital onboarding platform,Increased productivity,Digital Platform + GenAI,2,3
77,TalentInsight AI,HR,Reporting,Recruitment & turnover analytics,Reduced recruitment costs,Predictive AI + Analytics,2,3
79,ComplyStreamline,Legal,Compliance,Automate compliance reporting,Increased productivity,RPA + GenAI,2,2
80,FinanceGuardian,Finance,Invoicing,Detecting anomalies in financial data,Reduced labor costs,IDP + Predictive AI,3,3
81,DebtTrend AI,Finance,Invoicing,Debt prediction and collection,Reduced expenses,Predictive AI + GenAI,2,2
82,QueryAssist AI,Finance,Invoicing,Virtual Assistant for invoice queries,Reduced costs,GenAI + RPA,2,2
83,CloudBill Exchange,Finance,Invoicing,Cloud billing & sharing,Reduce expenses,RPA + Cloud Integration,2,2
87,InvoiceAccelerator AI,Finance,Invoicing,Accelerated invoice processing,Reduce payable processing cost,IDP + RPA,2,3
90,FinConsolidate AI,Finance,Accounting,Automated financial consolidation,Reduce reconciliation times,RPA + Analytics,2,3
92,TalentInsight AI,HR,Reporting,Recruitment & turnover analytics,Increased efficiency,Predictive AI + Analytics,2,3
93,SentimentScraper GenAI,HR,NPS,Scraping surveys and reviews,Increased productivity,GenAI (NLP/LLM),1,2
94,PathFinder GenAI,HR,Upskilling,Career path suggestions,Improved productivity,GenAI (Copilot),1,2